Sample in Buffer,Sample in Window,TRIGGER,dac_inst/in_clk,dac_inst/in_reset,dac_inst/in_sdo,dac_inst/p_0_in11_in,dac_inst/out_sclk,dac_inst/out_ss,dac_inst/out_sdio,dac_inst/out_data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
354,354,0,0,1,0,1,1,0,0,ffff
355,355,0,0,1,0,1,1,0,0,ffff
356,356,0,0,1,0,1,1,0,0,ffff
357,357,0,0,1,0,1,1,0,0,ffff
358,358,0,0,1,0,1,0,0,0,ffff
359,359,0,0,1,0,1,0,0,0,ffff
360,360,0,0,1,0,1,0,0,0,ffff
361,361,0,0,1,0,1,0,0,0,ffff
362,362,0,0,1,0,1,0,0,0,ffff
363,363,0,0,1,0,1,0,0,0,ffff
364,364,0,0,1,0,1,1,0,0,ffff
365,365,0,0,1,0,1,1,0,0,ffff
366,366,0,0,1,0,1,1,0,0,ffff
367,367,0,0,1,0,1,1,0,0,ffff
368,368,0,0,1,0,1,1,0,0,ffff
369,369,0,0,1,0,1,1,0,0,ffff
370,370,0,0,1,0,1,0,0,0,ffff
371,371,0,0,1,0,1,0,0,0,ffff
372,372,0,0,1,0,1,0,0,1,ffff
373,373,0,0,1,0,1,0,0,1,ffff
374,374,0,0,1,0,1,0,0,1,0000
375,375,0,0,1,0,1,0,0,1,0000
376,376,0,0,1,0,1,1,0,1,0000
377,377,0,0,1,0,1,1,0,1,0000
378,378,0,0,1,0,1,1,0,1,0000
379,379,0,0,1,0,1,1,0,1,0000
380,380,0,0,1,0,1,1,0,1,0000
381,381,0,0,1,0,1,1,0,1,0000
382,382,0,0,1,0,1,0,0,1,0000
383,383,0,0,1,0,1,0,0,1,0000
384,384,0,0,1,0,1,0,0,0,0000
385,385,0,0,1,0,1,0,0,0,0000
386,386,0,0,1,0,1,0,0,0,0000
387,387,0,0,1,0,1,0,0,0,0000
388,388,0,0,1,0,1,1,0,0,0000
389,389,0,0,1,0,1,1,0,0,0000
390,390,0,0,1,0,1,1,0,0,0000
391,391,0,0,1,0,1,1,0,0,0000
392,392,0,0,1,0,1,1,0,0,0000
393,393,0,0,1,0,1,1,0,0,0000
394,394,0,0,1,0,1,0,0,0,0000
395,395,0,0,1,0,1,0,0,0,0000
396,396,0,0,1,0,1,0,0,0,0000
397,397,0,0,1,0,1,0,0,0,0000
398,398,0,0,1,0,1,0,0,0,0000
399,399,0,0,1,0,1,0,0,0,0000
400,400,0,0,1,0,1,1,0,0,0000
401,401,0,0,1,0,1,1,0,0,0000
402,402,0,0,1,0,1,1,0,0,0000
403,403,0,0,1,0,1,1,0,0,0000
404,404,0,0,1,0,1,1,0,0,0000
405,405,0,0,1,0,1,1,0,0,0000
406,406,0,0,1,0,1,0,0,0,ffff
407,407,0,0,1,0,1,0,0,0,ffff
408,408,0,0,1,0,1,0,0,0,ffff
409,409,0,0,1,0,1,0,0,0,ffff
410,410,0,0,1,0,1,0,0,0,ffff
411,411,0,0,1,0,1,0,0,0,ffff
412,412,0,0,1,0,1,1,0,0,ffff
413,413,0,0,1,0,1,1,0,0,ffff
414,414,0,0,1,0,1,1,0,0,ffff
415,415,0,0,1,0,1,1,0,0,ffff
416,416,0,0,1,0,1,1,0,0,ffff
417,417,0,0,1,0,1,1,0,0,ffff
418,418,0,0,1,0,1,0,0,0,ffff
419,419,0,0,1,0,1,0,0,0,ffff
420,420,0,0,1,0,1,0,0,0,ffff
421,421,0,0,1,0,1,0,0,0,ffff
422,422,0,0,1,0,1,0,0,0,ffff
423,423,0,0,1,0,1,0,0,0,ffff
424,424,0,0,1,0,1,1,0,0,ffff
425,425,0,0,1,0,1,1,0,0,ffff
426,426,0,0,1,0,1,1,0,0,ffff
427,427,0,0,1,0,1,1,0,0,ffff
428,428,0,0,1,0,1,1,0,0,ffff
429,429,0,0,1,0,1,1,0,0,ffff
430,430,0,0,1,0,1,0,0,0,ffff
431,431,0,0,1,0,1,0,0,0,ffff
432,432,0,0,1,0,1,0,0,0,ffff
433,433,0,0,1,0,1,0,0,0,ffff
